source,target,interaction,id,gpc,basic,hinku,alas,secap,hiv,scope,indices,description,Unit
Teollisuus – ei-päästökauppa,päästösektori alueperusteinen,alajoukko,syke16,I.3.1,Taakanjako,TRUE,TRUE,,,,,Ei sisällä sähköntuotantoa eikä myytyä kaukolämpöä ,
Työkoneet,päästösektori alueperusteinen,alajoukko,syke17,II.1.1,Taakanjako,TRUE,TRUE,,,,ajoneuvo,,
F-kaasut,päästösektori alueperusteinen,alajoukko,syke18,Kaikki,Taakanjako,TRUE,TRUE,,,,kasvihuonekaasu,Päästöjä syntyy osittain myös kunnan rajojen ulkopuolella ,
Maatalous,päästösektori alueperusteinen,alajoukko,syke19,"V.1, V.2",Taakanjako,TRUE,TRUE,,,,,,
Jätteiden käsittely,päästösektori kulutusperusteinen,alajoukko,syke20,III,Taakanjako,TRUE,TRUE,,,,"jätteenkäsittelymenetelmä, scope","Perusteena kunnassa tuotettu jätemäärä, riippumatta käsittelypaikasta ",
Jätteiden käsittely – teollisuus,päästösektori alueperusteinen,alajoukko,syke21,III,Taakanjako?,FALSE,TRUE,,,,"jätteenkäsittelymenetelmä, scope",Tapauskohtaisesti kulutusperusteinen laskenta ,
Tuulivoima,päästösektori alueperusteinen,alajoukko,syke22, ?, ?,TRUE,TRUE,,,,,Päästöhyvitykset lasketaan suomalaisen keskiarvosähkön kertoimella ,
Lentoliikenne,päästösektori alueperusteinen,alajoukko,syke23,II.4.1,,FALSE,FALSE,,,,,,
Ulkomaan laivaliikenne,päästösektori alueperusteinen,alajoukko,syke24,II.3.1,,FALSE,FALSE,,,,,,
Jäänmurtajat,päästösektori alueperusteinen,alajoukko,syke25,II.3.1,,FALSE,FALSE,,,,,,
Teollisuusprosessit,päästösektori alueperusteinen,alajoukko,syke26,"IV.1, IV.2",,FALSE,FALSE,,,,,,
LULUCF,päästösektori alueperusteinen,alajoukko,syke27,"V.1, V.2",,FALSE,FALSE,,,,,,
,,,,,,,,,,,,,
Helsingin ilmastovahdin käyttämät mittarit ,,,,,,,,,,,,,
Helen Oy:n sähköntuotannon kasvihuonekaasupäästöt,päästösektori tuotantoperusteinen,alajoukko,,I.X.2,,,,,TRUE,,,,
Helsingin hiilinielut,päästösektori alueperusteinen,alajoukko,,V.2,,,,,TRUE,,,,
Helsingin kaupungin kasvihuonekaasupäästöt (scope 3) ,päästösektori kulutusperusteinen,alajoukko,,X.X.3,,,,,TRUE,,,,
Kuluttamisen kasvihuonekaasupäästöt ,päästösektori kulutusperusteinen,alajoukko,,IV.2,,,,,TRUE,,,,
Työkoneiden kasvihuonekaasupäästöt ,päästösektori tuotantoperusteinen,alajoukko,,II.4,,,,,TRUE,,,,
Työkoneiden khk-päästöt Helsingin kaupungin rakennusurakoissa,päästösektori tuotantoperusteinen,alajoukko,,II.4,,,,,TRUE,,,,
Kaupungin kuluttamisen kasvihuonekaasupäästöt,päästösektori kulutusperusteinen,alajoukko,,IV.2,,,,,TRUE,,,,
Helsingin ruoankulutuksen khk-päästöt ,päästösektori kulutusperusteinen,alajoukko,,IV.2,,,,,TRUE,,,,
Rakennusmateriaalien kasvihuonekaasupäästöt,päästösektori kulutusperusteinen,alajoukko,,I.3,,,,,TRUE,,,,
Sähkönkulutuksen kasvihuonekaasupäästöt,päästösektori kulutusperusteinen,alajoukko,,X.X.2,,,,,TRUE,,,,
Teollisuuden ja työkoneiden kasvihuonekaasupäästöt,päästösektori tuotantoperusteinen,alajoukko,,II.4,,,,,TRUE,,,,
Helsingin kaupungin kasvihuonekaasupäästöt (scope 1-2) ,päästösektori tuotantoperusteinen,alajoukko,,"I, II, III, IV, V, VI",,,,,TRUE,,,,
Lämmönkulutuksen kasvihuonekaasupäästöt ,päästösektori kulutusperusteinen,alajoukko,,I.X.2,,,,,TRUE,,,,
Kaukolämmönkulutuksen kasvihuonekaasupäästöt ,päästösektori kulutusperusteinen,alajoukko,,I.X.2,,,,,TRUE,,,,
Kaupungin omistamien kiinteistöjen lämmityksen khk-päästöt ,päästösektori kulutusperusteinen,alajoukko,,"I.1.1, I.1.2, I.2.1, I.2.2",,,,,TRUE,,,,
Maalämmönkulutuksen kasvihuonekaasupäästöt,päästösektori kulutusperusteinen,alajoukko,,"I.1.2, I.2.2",,,,,TRUE,,,,
Öljylämmityksen kasvihuonekaasupäästöt,päästösektori tuotantoperusteinen,alajoukko,,"I.1.1, I.1.2",,,,,TRUE,,,,
Sähkölämmityksen kasvihuonekaasupäästöt,päästösektori kulutusperusteinen,alajoukko,,"I.1.2, I.2.2",,,,,TRUE,,,,
Liikenteen kasvihuonekaasupäästöt ,GPCII,sama kuin,,II,,,,,TRUE,,,,
Raide- ja laivaliikenteen kasvihuonekaasupäästöt ,päästösektori tuotantoperusteinen,alajoukko,,"II.2, II.3",,,,,TRUE,,,,
Helsingin satama-alueiden CO2-päästöt,päästösektori tuotantoperusteinen,alajoukko,,II.3,,,,,TRUE,,,,
Tieliikenteen kasvihuonekaasupäästöt ,GPCII.1,sama kuin,,II.1,,,,,TRUE,,,,
Henkilöautoilun kasvihuonekaasupäästöt,päästösektori tuotantoperusteinen,alajoukko,,II.1,,,,,TRUE,,,,
Joukkoliikenteen kasvihuonekaasupäästöt,päästösektori tuotantoperusteinen,alajoukko,,II.1,,,,,TRUE,,,,
Jätteidenkäsittelyn kasvihuonekaasupäästöt ,päästösektori tuotantoperusteinen,alajoukko,,III,,,,,TRUE,,,,
Maatalouden kasvihuonekaasupäästöt ,päästösektori tuotantoperusteinen,alajoukko,,"I.5, V",,,,,TRUE,,,,
,,,,,,,,,,,,,
Total GHG emissions from the municipality,,,graph1,,objective,,,,,,"fuel, source",,kt CO2e /a
GHG emissions from heating of stationary sources,Total GHG emissions from the municipality,part of,graph2,"I.1.1, I.1.2, I.1.3, I.2.1, I.2.2, I.2.3, I.3.1, I.3.2, I.3.3, I.4.1, I.4.2, I.4.3",indicator,,,,,,"building, heating, fuel, source",,kt CO2e /a
GHG emissions from consumer electricity,Total GHG emissions from the municipality,part of,graph3,"I.1.1, I.1.2, I.1.3, I.2.1, I.2.2, I.2.3, I.3.1, I.3.2, I.3.3, I.4.1, I.4.2, I.4.3",indicator,,,,,,"building, source",,kt CO2e /a
GHG emissions from transportation,Total GHG emissions from the municipality,part of,graph4,"II.1.1, II.1.2, II.1.3, II.2.1, II.2.2, II.2.3, II.3.1, II.3.2, II.3.3, II.4.1, II.4.2, II.4.3, II.5.1, II.5.2",indicator,,,,,,"mode0, fuel, source","Mode0 is the main transport sector (road, rail, aviation), mode is the mode detailed (walking, cycling, private car, bus)",kt CO2e /a
GHG emissions from waste,Total GHG emissions from the municipality,part of,graph5,"III.1.1, III.1.2, III.1.3, III.2.1, III.2.2, III.2.3, III.3.1, III.3.2, III.3.3, III.4.1, III.4.2, III.4.3",indicator,,,,,,"treatment, source",,kt CO2e /a
GHG emissions from IPPU,Total GHG emissions from the municipality,part of,graph6,"IV.1, IV.2",indicator,,,,,,source,,kt CO2e /a
GHG emissions from AFOLU,Total GHG emissions from the municipality,part of,graph7,"V.1, V.2, V.3",indicator,,,,,,source,,kt CO2e /a
GHG emissions from other scope 3,Total GHG emissions from the municipality,part of,graph8,VI.1,indicator,,,,,,source,,kt CO2e /a
Emissions from heating of stationary sources,GHG emissions from heating of stationary sources,increases,graph9,"I.1.1, I.1.2, I.1.3, I.2.1, I.2.2, I.2.3, I.3.1, I.3.2, I.3.3, I.4.1, I.4.2, I.4.3",variable,,,,,,"building, heating, fuel, source, gas",,kt CO2e /a
Emissions from consumer electricity,GHG emissions from consumer electricity,increases,graph10,"I.1.1, I.1.2, I.1.3, I.2.1, I.2.2, I.2.3, I.3.1, I.3.2, I.3.3, I.4.1, I.4.2, I.4.3",variable,,,,,,"building, source, gas",,kt CO2e /a
Emissions from transportation,GHG emissions from transportation,increases,graph11,"II.1.1, II.1.2, II.1.3, II.2.1, II.2.2, II.2.3, II.3.1, II.3.2, II.3.3, II.4.1, II.4.2, II.4.3, II.5.1, II.5.2",variable,,,,,,"mode0, fuel, source, gas","Mode0 is the main transport sector (road, rail, aviation), mode is the mode detailed (walking, cycling, private car, bus)",kt CO2e /a
Emissions from waste,GHG emissions from waste,increases,graph12,"III.1.1, III.1.2, III.1.3, III.2.1, III.2.2, III.2.3, III.3.1, III.3.2, III.3.3, III.4.1, III.4.2, III.4.3",variable,,,,,,"treatment, source, gas",,kt CO2e /a
Emissions from IPPU,GHG emissions from IPPU,increases,graph13,"IV.1, IV.2",variable,,,,,,"source, gas",,kt CO2e /a
Emissions from AFOLU,GHG emissions from AFOLU,increases,graph14,"V.1, V.2, V.3",variable,,,,,,"source, gas",,kt CO2e /a
Energy use from heating of buildings,Emissions from heating of stationary sources,increases,graph15,,indicator,,,,,,"building, heating, source",,MWh/a 
Emission factors of energy,Emissions from heating of stationary sources,increases,graph16,,variable,,,,,,"heating, gas, source",,g/MJ
Heat loss from the grid,Emissions from heating of stationary sources,increases,graph17,,variable,,,,,,heating,,%
Floor area of buildings,Energy use from heating of buildings,increases,graph18,,variable,,,,,,"building, heating, energyclass",,m²
Energy efficiency of buildings,Energy use from heating of buildings,increases,graph19,,indicator,,,,,,"building, energyclass",,kWh/m²/a
Energy use from consumer electricity,Emissions from consumer electricity,increases,graph20,,indicator,,,,,,,,
Electricity loss from the grid,Energy use from consumer electricity,increases,graph21,,variable,,,,,,,,%
Floor area of buildings,Energy use from consumer electricity,increases,graph22,,variable,,,,,,,,m²
Emission factors of energy,Emissions from consumer electricity,increases,graph23,,variable,,,,,,,,
Specific electricity consumption,Energy use from consumer electricity,increases,graph24,,variable,,,,,,building,,kWh/m²/a
Public lighting,Energy use from consumer electricity,part of,graph25,,variable,,,,,,,,MWh/a 
Transport activity of people,Energy use from transportation,increases,graph26,,variable,,,,,,transboundary,,trips/d
