"","url","type","object_id","name","id","identifier","indicator_level","time_resolution","latest_value.value","latest_value.date","latest_value.unit"
"125","https://aplans.api.hel.ninja/v1/indicator/33/","indicator", 33,"Pysäköintipaikkojen määrä per asukas","i33",NA,"tactical","year",NA,NA,NA
"126","https://aplans.api.hel.ninja/v1/indicator/32/","indicator", 32,"Autopaikkojen määrä per asunto asemakaavoissa","i32",NA,"operational","year",NA,NA,NA
"127","https://aplans.api.hel.ninja/v1/indicator/229/","indicator",229,"Vähäpäästöisten ajoneuvojen tunnusten osuus asukas- ja yrityspysäköintitunnuksista","i229",NA,"operational","year",NA,NA,NA
"128","https://aplans.api.hel.ninja/v1/indicator/228/","indicator",228,"Asukas- ja yrityspysäköintitunnusten määrä","i228",NA,"operational","year",NA,NA,NA
"129","https://aplans.api.hel.ninja/v1/indicator/3/","indicator",  3,"Sähköautojen osuus ensirekisteröidyistä autoista","i3",NA,"tactical","year",6.800000e-01,2018-12-31,%
"130","https://aplans.api.hel.ninja/v1/indicator/27/","indicator", 27,"Sähköautojen latauspaikkojen määrä","i27",NA,"tactical","year",NA,NA,NA
"131","https://aplans.api.hel.ninja/v1/indicator/238/","indicator",238,"Sähköautojen julkiset latausasemat","i238",NA,"tactical","year",NA,NA,NA
"132","https://aplans.api.hel.ninja/v1/indicator/241/","indicator",241,"Sähköautojen latauspisteiden yleissuunnitelmassa olevien latauspaikkojen määrä","i241",NA,"operational","year",NA,NA,NA
"133","https://aplans.api.hel.ninja/v1/indicator/28/","indicator", 28,"Yleisillä alueilla sijaitsevien sähköautojen latauspisteiden määrä","i28",NA,"operational","year",NA,NA,NA
"134","https://aplans.api.hel.ninja/v1/indicator/26/","indicator", 26,"Sähköautojen latauspaikkojen osuus kaikista pysäköintipaikoista tontinluovutusehdoissa","i26",NA,"operational","year",NA,NA,NA
"135","https://aplans.api.hel.ninja/v1/indicator/150/","indicator",150,"Kävely- ja pyöräily-ympäristön miellyttäväksi kokevien osuus","i150",NA,"tactical","year",NA,NA,NA
"136","https://aplans.api.hel.ninja/v1/indicator/176/","indicator",176,"Liityntäpysäköinnin uudet pyöräpaikat","i176",NA,"operational","year",8.560000e+02,2019-12-31,pcs
"137","https://aplans.api.hel.ninja/v1/indicator/339/","indicator",339,"Myydyt työsuhdematkaliput Helsingissä","i339",NA,"tactical","year",NA,NA,NA
"138","https://aplans.api.hel.ninja/v1/indicator/296/","indicator",296,"Tiivis joukkoliikennettä suosiva kaupunkirakenne","i296",NA,"tactical","year",NA,NA,NA
"139","https://aplans.api.hel.ninja/v1/indicator/243/","indicator",243,"Täydentämisrakennuskohteiden kerrosala","i243",NA,"operational","year",NA,NA,NA
"140","https://aplans.api.hel.ninja/v1/indicator/244/","indicator",244,"Täydentämisrakennuskohteiden osuus kaikesta rakentamisesta","i244",NA,"operational","year",NA,NA,NA
"141","https://aplans.api.hel.ninja/v1/indicator/52/","indicator", 52,"Kerrosala, joka on kaavoitettu raideliikenteen lähelle","i52",NA,"operational","year",NA,NA,NA
"142","https://aplans.api.hel.ninja/v1/indicator/206/","indicator",206,"Toteutettujen Solmu-toimenpiteiden määrä","i206",NA,"operational","year",0.000000e+00,2017-12-31,pcs
"143","https://aplans.api.hel.ninja/v1/action/291/","action",291,"Pyöräliikenteen kantakaupungin tavoiteverkko","a291","2",NA,NA,NA,NA,NA
"144","https://aplans.api.hel.ninja/v1/indicator/18/","indicator", 18,"Kantakaupungin pyöräilyn tavoiteverkon toteutunut pituus","i18",NA,"operational","year",3.250000e+01,2019-12-31,km
